name,followers_number,avatar_url,average_views,price
n0shot1,1938,https://pbs.twimg.com/profile_images/1618112872193597440/SBZYaPUi_bigger.png,0,0.055
paddybaker_,1979,https://pbs.twimg.com/profile_images/1550510801777299457/Vo459dL__bigger.jpg,0,0.055
BTDiaz,2030,https://pbs.twimg.com/profile_images/1730344404475355136/kxinLsDs_bigger.jpg,0,0.055
timthehumanbot,2034,https://pbs.twimg.com/profile_images/1821252813818650624/AorH075Q_bigger.jpg,19,0.055
FimixGG,2053,https://pbs.twimg.com/profile_images/1818049179391827969/YQz9ql3z_bigger.jpg,52,0.055
NFTDaddy0311,2053,https://pbs.twimg.com/profile_images/1742706087353016320/5pEvgueR_bigger.jpg,74,0.055
crypto_foo,2117,https://pbs.twimg.com/profile_images/1807196916599373824/AZfR5XWS_bigger.jpg,0,0.055
bkbollinger,2139,https://pbs.twimg.com/profile_images/1485267608047865865/dnoM2dD__bigger.png,271,0.055
chuuuqs,2146,https://pbs.twimg.com/profile_images/1830677804138070016/rSBcHy6d_bigger.jpg,0,0.055
0xYakitori,2169,https://pbs.twimg.com/profile_images/1532657472653377536/3i8ZGmRx_bigger.jpg,283,0.055
SenorDunnCrypto,2163,https://pbs.twimg.com/profile_images/1378290726598029314/Uv2NZ1Up_bigger.jpg,0,0.055
RegenIncarnated,2218,https://pbs.twimg.com/profile_images/1765471717470748672/eHUmbnZ6_bigger.jpg,172,0.055
WestieCrypto,2221,https://pbs.twimg.com/profile_images/1837337670675996672/49zYqcoe_bigger.jpg,593.5,0.055
skollzy,2260,https://pbs.twimg.com/profile_images/1749827473888485380/2RipaqSL_bigger.jpg,89,0.055
JeffbitZA,2265,https://pbs.twimg.com/profile_images/1800308755843665920/ig6R3tkB_bigger.jpg,124,0.055
ApeingShitters,2267,https://pbs.twimg.com/profile_images/1820662205857284096/QhQ4p8_E_bigger.jpg,0,0.055
LukeeSol,2298,https://pbs.twimg.com/profile_images/1737905190513025024/pVNMh3XW_bigger.jpg,0,0.055
ogiberstein,2302,https://pbs.twimg.com/profile_images/1723735356564987904/SYoRKMnK_bigger.jpg,0,0.055
jay_rollups,2305,https://pbs.twimg.com/profile_images/1186565994493480960/euckpGRe_bigger.jpg,0,0.055
unknow_first,2341,https://pbs.twimg.com/profile_images/1803391799626465280/DU9eThtH_bigger.jpg,33,0.055
StarAtlasCitiz1,2392,https://pbs.twimg.com/profile_images/1534814751624134657/tk3HW8EF_bigger.jpg,45.5,0.055
akira_crypto0,2434,https://pbs.twimg.com/profile_images/1628273286466666497/ArH-pS5k_bigger.jpg,142,0.055
rikimaaro,2438,https://pbs.twimg.com/profile_images/1749994644866269184/qrAYLaKM_bigger.jpg,105.3333333,0.055
mitchelljhammer,2407,https://pbs.twimg.com/profile_images/1825935577012686849/b6HkEmlh_bigger.jpg,0,0.055
HongboSG,2460,https://pbs.twimg.com/profile_images/1661533992997502976/BAZopYrh_bigger.jpg,0,0.055
papamolloydie,2459,https://pbs.twimg.com/profile_images/1840765018633334784/_zUYVwkP_bigger.jpg,0,0.055
connoroday0,2460,https://pbs.twimg.com/profile_images/1620327852548968457/EnDpWi3N_bigger.png,0,0.055
